rank,segment,priority,club_name,club_number,district,city,country,meeting,format,language,contact_email,contact_channel,contact_notes,website,why_this_week,pitch_angle,status,sent_date,reply_notes,source_notes
11,2-likely-user-kansas,P1,Toastmasters Unlimited,1379,209,Overland Park KS,USA,2nd & 4th Mon 7:00 PM,hybrid,English,war.sprint@gmail.com,email,,http://1379.toastmastersclubs.org/,Heavy anonymous usage KC metro Jun-Aug 2026; open hybrid club,Someone in your area is already timing meetings with us - purpose-built Zoom timer for hybrid/online meetings.,todo,,,Open hybrid club.
12,2-likely-user-honolulu,P1,Aloha Toastmasters,601,49,Honolulu HI,USA,1st & 3rd Tue 6:30-7:45 PM HST,online,English,alohatoastmastersclub@gmail.com,email,,https://www.toastmasters.org/Find-a-Club/00000601-aloha-toastmasters,Heavy anonymous session Jul 2026; Zoom-only club,Someone in your area is already timing meetings with us - purpose-built Zoom timer for hybrid/online meetings.,todo,,,Honolulu = one very heavy session Jul 2026. Zoom-only club.
13,2-likely-user-honolulu,P1,Hawaii Comedy Club Toastmasters,7841602,49,Honolulu HI,USA,2nd & 4th Fri 6:00-7:00 PM HST,online,English,joyacey@gmail.com,email,,https://www.toastmasters.org/Find-a-Club/07841602-hawaii-comedy-central-toastmasters,Heavy anonymous session Jul 2026; Zoom-only club,Someone in your area is already timing meetings with us - purpose-built Zoom timer for hybrid/online meetings.,todo,,,Zoom-only club.
14,3-montreal,P1,Words On Wings (WOW),835,61,Montreal QC,Canada,Fri 12:15 PM weekly,online,English,wow835membership@gmail.com,email,,http://835.toastmastersclubs.org/,Home turf P1 - can offer in-person visit,Local founder (Montreal/South Shore) - happy to visit and demo in person. Zoom/hybrid timer.,todo,,,100% Zoom weekly - top Montreal target.
15,3-montreal,P1,Beyond Words Advanced Toastmasters,5468876,61,Montreal QC,Canada,1st & 3rd Sat 9:30-11:30 AM,online,English,,contact form: https://www.toastmasters.org/Find-a-Club/5468876/contact-club,Email obfuscated - use https://beyondwords.club/contact-us/,https://beyondwords.club/,Home turf P1 - can offer in-person visit,Advanced club: members are officers elsewhere - one adoption seeds many clubs. Offer a demo at a meeting.,todo,,,Advanced club - members are officers/influencers in other clubs.
16,3-montreal,P1,Club avance international,684093,61,Montreal QC (members QC/FR/CH),Canada,Every other Sat 2:00 PM ET,online,French,info@clubavanceinternationaltm.com,email,,https://www.clubavanceinternationaltm.com,Home turf P1 - can offer in-person visit,Advanced club: members are officers elsewhere - one adoption seeds many clubs. Offer a demo at a meeting.,todo,,,French advanced Zoom-native club.
17,3-montreal,P1,Club Toastmasters Montreal,9361,61,Montreal QC,Canada,Tue 6:55-8:30 AM,online,French,info@clubtoastmastersmontreal.org,email,Responds within 48h per site,https://clubtoastmastersmontreal.org/,Home turf P1 - can offer in-person visit,Local founder (Montreal/South Shore) - happy to visit and demo in person. Zoom/hybrid timer.,todo,,,Zoom meetings per own site.
18,3-montreal,P1,Moderator Club / Club Moderateur,3200,61,Montreal QC,Canada,Tue 6:30 PM,hybrid (online currently broken),Bilingual,info@moderatorclub.org,email,,https://moderatorclub.org/,Home turf P1 - can offer in-person visit,"Their site says online participation is broken (MS Teams) - web timer works in any browser, no Zoom needed.",todo,,,STRONG HOOK: own site says online participation broken due to MS Teams technical issues.
19,3-montreal,P1,Golden Mile Toastmasters,9886,61,Montreal QC,Canada,Wed 7:00-9:00 PM,hybrid (alternates virtual/in-person weekly),English,goldenmiletm@gmail.com,email,,https://9886.toastmastersclubs.org/,Home turf P1 - can offer in-person visit,Local founder (Montreal/South Shore) - happy to visit and demo in person. Replace paper timing cards.,todo,,,30-year-old active club.
20,3-montreal,P1,Club Excellence Toastmasters,7701,61,Saint-Laurent QC,Canada,1st & 3rd Sat 9:00 AM,hybrid,Bilingual,contact@club-excellence.org,email,VPM Christian Schweiger 450-667-0002 published,https://7701.toastmastersclubs.org/,Home turf P1 - can offer in-person visit,Local founder (Montreal/South Shore) - happy to visit and demo in person. Zoom/hybrid timer.,todo,,,Advanced bilingual hybrid; named VPM - ideal first outreach.
21,3-montreal,P1,NDG Leader Toastmasters,632838,61,Montreal QC,Canada,Thu 7:00-9:00 PM (online last Thu/month),hybrid,English,ndgleaderstoastmaster@gmail.com,email,Pres. Judith Mugeni 438-860-1682 per site,https://www.ndgleaderstoastmasters.com/,Home turf P1 - can offer in-person visit,Local founder (Montreal/South Shore) - happy to visit and demo in person. Zoom/hybrid timer.,todo,,,Publishes Zoom link openly.
22,3-montreal,P1,Les Orateurs Distingues,8658,61,Saint-Hubert QC,Canada,Sat 8:30-10:30 AM,in-person (online allowed per TI),French,membreslod@gmail.com,email,,https://tmlod.com/,Home turf P1 - can offer in-person visit,Local founder (Montreal/South Shore) - happy to visit and demo in person. Replace paper timing cards.,todo,,,Closest club to home base (Saint-Hubert); 45 meetings/yr.
23,4-eu,P1,In Camera Online Toastmasters,,95,Pan-EU (DE-chartered),Germany,Fri 07:30 CE(S)T weekly,online,English,info@incameraonline.com,email,,https://incameraonline.com/,EU P1 online club with published email (no contact-form friction),Purpose-built timer for fully-online clubs; works in any browser alongside Zoom.,todo,,,Chartered online-only club - archetypal Zoom timer user.
24,4-eu,P1,Vliegende Hollanders Online Advanced,,59,Online,Netherlands,Sun 19:30 CE(S)T,online (advanced),English,vliegende.hollanders.tm@gmail.com,email,,https://tmclub.eu (c=1852),EU P1 online club with published email (no contact-form friction),Advanced club: members are officers elsewhere - one adoption seeds many clubs. Offer a demo at a meeting.,todo,,,Advanced online club focused on digital presentation; members are multipliers across D59.
25,4-eu,P1,Mons Toastmasters Club,,59,Mons,Belgium,1st Tue 19:00 online + 4th Fri hybrid,online+hybrid,English,mons.toastmasters.club@gmail.com,email,,https://toastmasters.be/mons-toastmasters-club,EU P1 online club with published email (no contact-form friction),Purpose-built timer for fully-online clubs; works in any browser alongside Zoom.,todo,,,Monthly all-online meeting; published email.
26,4-eu,P1,Karlsruhe Toastmasters Club,00817718,95,Karlsruhe,Germany,1st/3rd/5th Mon 19:15,online attendance,English,karlsruhe-toastmasters-club@gmx.de,email,CAUTION: may be sister German club's address - verify,https://www.toastmasters.org/Find-a-Club/00817718,EU P1 online club with published email (no contact-form friction),Purpose-built timer for fully-online clubs; works in any browser alongside Zoom.,todo,,,Tech-heavy city (KIT).
